,symbol,name,slug,logo,type,objectID,_highlightResult,popularity,tokenName,tagline,lastUpdated
10,APY,APY.Finance ,apy-finance,https://messari.io/asset-images/5ec644ea-ced0-4609-b6e4-12ab2514c47d/128.png,asset,5ec644ea-ced0-4609-b6e4-12ab2514c47d,"{'symbol': {'value': '<b>A</b>PY', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>PY.Finance ', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",1193.0,APY.Finance ,,
11,ANKR,Ankr Network,ankr-network,https://messari.io/asset-images/998058d5-f705-448a-961a-50a6b922e0f5/128.png,asset,998058d5-f705-448a-961a-50a6b922e0f5,"{'symbol': {'value': '<b>A</b>NKR', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>nkr Network', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",1164.0,Ankr,Distributed cloud computing,
12,AKT,Akash Network,akash-network,https://messari.io/asset-images/70ff9217-865b-4f97-8967-8e2818048913/128.png,asset,70ff9217-865b-4f97-8967-8e2818048913,"{'symbol': {'value': '<b>A</b>KT', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>kash Network', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",622.0,AKT,,
13,AGI,SingularityNET,singularitynet,https://messari.io/asset-images/6f4736d0-ba02-4ede-9718-9111dfa69b43/128.png,asset,6f4736d0-ba02-4ede-9718-9111dfa69b43,"{'symbol': {'value': '<b>A</b>GI', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': 'SingularityNET', 'matchLevel': 'none', 'matchedWords': []}}",603.0,ERC-20,Marketplace to buy and sell AI solutions,
14,ATRI,Atari,atari,https://messari.io/asset-images/0905b445-c501-47bf-b3ae-5860da8accf4/128.png,asset,0905b445-c501-47bf-b3ae-5860da8accf4,"{'symbol': {'value': '<b>A</b>TRI', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>tari', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",520.0,ATRI,,
15,AMPL,Ampleforth,ampleforth,https://messari.io/asset-images/66bcbbca-0963-4376-8cc4-db93bce79cd9/128.png,asset,66bcbbca-0963-4376-8cc4-db93bce79cd9,"{'symbol': {'value': '<b>A</b>MPL', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>mpleforth', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",420.0,Amples,An algorithmic coin for stable purchasing power,
16,ALCX,Alchemix,alchemix,https://messari.io/asset-images/ef68e774-7c0f-4b7b-8bad-990e22d00a0c/128.png,asset,ef68e774-7c0f-4b7b-8bad-990e22d00a0c,"{'symbol': {'value': '<b>A</b>LCX', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>lchemix', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",412.0,ALCX,,
17,ANRX,AnRKey X,anrkey-x,https://messari.io/asset-images/136d9c14-fdd0-4a08-ba26-4190832624e1/128.png,asset,136d9c14-fdd0-4a08-ba26-4190832624e1,"{'symbol': {'value': '<b>A</b>NRX', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>nRKey X', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",341.0,ANRX,,
18,AGLD,Adventure Gold,adventure-gold,https://messari.io/asset-images/dceb93c0-c2e6-488b-9d1f-954cddb141e1/128.png,asset,dceb93c0-c2e6-488b-9d1f-954cddb141e1,"{'symbol': {'value': '<b>A</b>GLD', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>dventure Gold', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",327.0,Adventure Gold,,
19,APE,ApeLab,apelab,https://messari.io/asset-images/01bd423b-e232-4780-87b3-a85eb443bf9c/128.png,asset,01bd423b-e232-4780-87b3-a85eb443bf9c,"{'symbol': {'value': '<b>A</b>PE', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>peLab', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",279.0,,,
20,AVA,Travala.com,travala-com,https://messari.io/asset-images/a619a799-ba3e-4e71-bdd7-0021185b2613/128.png,asset,a619a799-ba3e-4e71-bdd7-0021185b2613,"{'symbol': {'value': '<b>A</b>VA', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': 'Travala.com', 'matchLevel': 'none', 'matchedWords': []}}",275.0,Travala.com,,
21,AION,The Open Application Network,the-open-application-network,https://messari.io/asset-images/b2f944ed-cb50-4902-a571-4e1341104796/128.png,asset,b2f944ed-cb50-4902-a571-4e1341104796,"{'symbol': {'value': '<b>A</b>ION', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': 'The Open <b>A</b>pplication Network', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",239.0,Aion,"An open-source, public infrastructure for the creation and hosting of Open Apps",
22,ARDR,Ardor,ardor,https://messari.io/asset-images/8527a458-d987-4132-9cc3-d85cd27dc74a/128.png,asset,8527a458-d987-4132-9cc3-d85cd27dc74a,"{'symbol': {'value': '<b>A</b>RDR', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>rdor', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",201.0,Ardor,A blockchain-as-a-service platform ,
23,AE,Aeternity,aeternity,https://messari.io/asset-images/19077966-3f42-4687-a5c7-dc71a27fd766/128.png,asset,19077966-3f42-4687-a5c7-dc71a27fd766,"{'symbol': {'value': '<b>A</b>E', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>eternity', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",193.0,Aeternity,A decentralized oracle blockchain protocol for smart contracts ,
24,ADX,Adex,adex,https://messari.io/asset-images/093a5977-420b-4a3c-ac0e-622f4120f7b5/128.png,asset,093a5977-420b-4a3c-ac0e-622f4120f7b5,"{'symbol': {'value': '<b>A</b>DX', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>dex', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",167.0,Adex,,
25,ADK,Aidos Kuneen,aidos-kuneen,https://messari.io/asset-images/fc7255db-1466-47c2-b4a8-839b2838d595/128.png,asset,fc7255db-1466-47c2-b4a8-839b2838d595,"{'symbol': {'value': '<b>A</b>DK', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>idos Kuneen', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",65.0,,,
26,AL,Artificial Intelligence,artificial-intelligence,https://messari.io/asset-images/0067c762-f617-40a2-96b3-32f356db0eb1/128.png,asset,0067c762-f617-40a2-96b3-32f356db0eb1,"{'symbol': {'value': '<b>A</b>L', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>rtificial Intelligence', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",64.0,,,
27,AMB,Ambrosus,ambrosus,https://messari.io/asset-images/bbc7b95d-cfdf-4918-b43a-710a35a9872a/128.png,asset,bbc7b95d-cfdf-4918-b43a-710a35a9872a,"{'symbol': {'value': '<b>A</b>MB', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>mbrosus', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",61.0,Amber,A blockchain-powered IoT network for food and pharmaceutical enterprises,
28,AVT,Aventus,aventus-1,https://messari.io/asset-images/00cb0486-a2a4-4524-a2c5-983771a2c967/128.png,asset,00cb0486-a2a4-4524-a2c5-983771a2c967,"{'symbol': {'value': '<b>A</b>VT', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>ventus', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",61.0,,,
29,ALPHA,AlphaCoin,alphacoin,https://messari.io/asset-images/02149084-a035-42fd-bee5-d37a24af0ef4/128.png,asset,02149084-a035-42fd-bee5-d37a24af0ef4,"{'symbol': {'value': '<b>A</b>LPHA', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>lphaCoin', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",57.0,,,
30,AST,AirSwap,airswap,https://messari.io/asset-images/7e2264ac-e8c9-4164-af67-a10f18d55b45/128.png,asset,7e2264ac-e8c9-4164-af67-a10f18d55b45,"{'symbol': {'value': '<b>A</b>ST', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>irSwap', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",50.0,AirSwap Token,Decentralized exchange protocol,
31,ASK,Permission,permission,https://messari.io/asset-images/0cd45777-eb83-4191-ae32-8c35ceeadae0/128.png,asset,0cd45777-eb83-4191-ae32-8c35ceeadae0,"{'symbol': {'value': '<b>A</b>SK', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': 'Permission', 'matchLevel': 'none', 'matchedWords': []}}",44.0,Permission,A Permission based engagement platform for Web 3.0,
32,AAC,Acute Angle Cloud,acute-angle-cloud,https://messari.io/asset-images/8f8f2088-151a-4c8b-a439-77ec8eaeaf7e/128.png,asset,8f8f2088-151a-4c8b-a439-77ec8eaeaf7e,"{'symbol': {'value': '<b>A</b>AC', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>cute <b>A</b>ngle Cloud', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",42.0,,,
33,ACT,Achain,achain,https://messari.io/asset-images/b1c4f044-de44-4d86-b787-0fa32d6d041d/128.png,asset,b1c4f044-de44-4d86-b787-0fa32d6d041d,"{'symbol': {'value': '<b>A</b>CT', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>chain', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",39.0,Achain,,
34,ANJ,Aragon Court,aragon-court,https://messari.io/asset-images/93fea2c1-521b-4c80-83fc-cab83ffa6f5e/128.png,asset,93fea2c1-521b-4c80-83fc-cab83ffa6f5e,"{'symbol': {'value': '<b>A</b>NJ', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>ragon Court', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",35.0,Aragon Jurors Token,Backbone for the Aragon digital jurisdiction,
35,AERGO,Aergo,aergo,https://messari.io/asset-images/67a3996b-923a-41d1-ab52-fcb99190e138/128.png,asset,67a3996b-923a-41d1-ab52-fcb99190e138,"{'symbol': {'value': '<b>A</b>ERGO', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>ergo', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",25.0,Aergo,Enterprise blockchain,
36,AQUA,AQUA,aqua,https://messari.io/asset-images/111cfbdb-3c25-418d-84ad-b0fbf7684a54/128.png,asset,111cfbdb-3c25-418d-84ad-b0fbf7684a54,"{'symbol': {'value': '<b>A</b>QUA', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>QUA', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",24.0,,,
37,ARPA,ArpaCoin,arpacoin,https://messari.io/asset-images/a13184f5-7281-4186-ad99-e1a2da7bc09a/128.png,asset,a13184f5-7281-4186-ad99-e1a2da7bc09a,"{'symbol': {'value': '<b>A</b>RPA', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>rpaCoin', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",22.0,,,
38,ARCH,Arch Coin,arch-coin,https://messari.io/asset-images/06ab2bf6-78c6-4d66-a94c-af53e5ee802c/128.png,asset,06ab2bf6-78c6-4d66-a94c-af53e5ee802c,"{'symbol': {'value': '<b>A</b>RCH', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>rch Coin', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",22.0,,,
39,ADEL,Akropolis Delphi,akropolis-delphi,https://messari.io/asset-images/ce43dfbe-eeef-4770-a986-bacf6f0f162b/128.png,asset,ce43dfbe-eeef-4770-a986-bacf6f0f162b,"{'symbol': {'value': '<b>A</b>DEL', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>kropolis Delphi', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",20.0,Akropolis Delphi ,,
40,ALEPH,Aleph.im,aleph-im,https://messari.io/asset-images/978aa54d-1bbb-4f73-bac4-ba7507c27a76/128.png,asset,978aa54d-1bbb-4f73-bac4-ba7507c27a76,"{'symbol': {'value': '<b>A</b>LEPH', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>leph.im', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",16.0,,,
41,ARRR,Pirate,pirate,https://messari.io/asset-images/8b7274cb-1230-43a4-849a-90b356076eab/128.png,asset,8b7274cb-1230-43a4-849a-90b356076eab,"{'symbol': {'value': '<b>A</b>RRR', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': 'Pirate', 'matchLevel': 'none', 'matchedWords': []}}",16.0,Pirate Chain,,
42,ALEX,AlexMasmej,alexmasmej,https://messari.io/asset-images/adc28756-fb9d-444a-8ae1-c42db3a65909/128.png,asset,adc28756-fb9d-444a-8ae1-c42db3a65909,"{'symbol': {'value': '<b>A</b>LEX', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>lexMasmej', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",15.0,ALEX,,
43,ABT,Arcblock,arcblock,https://messari.io/asset-images/6f67ca1a-5a43-449c-847e-5cfac8d98744/128.png,asset,6f67ca1a-5a43-449c-847e-5cfac8d98744,"{'symbol': {'value': '<b>A</b>BT', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>rcblock', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",15.0,ArcBlock,Ecosystem for building and deploying decentralized applications,
44,ADL,Adel,adel,https://messari.io/asset-images/e7aef7bb-e323-4106-8bf5-f08a61139529/128.png,asset,e7aef7bb-e323-4106-8bf5-f08a61139529,"{'symbol': {'value': '<b>A</b>DL', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>del', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",13.0,Adelphoi,Incubator for blockchain innovation,
45,ART,Maecenas,maecenas,https://messari.io/asset-images/6f0f4b22-3175-4506-a923-732d20232dde/128.png,asset,6f0f4b22-3175-4506-a923-732d20232dde,"{'symbol': {'value': '<b>A</b>RT', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': 'Maecenas', 'matchLevel': 'none', 'matchedWords': []}}",8.0,,Marketplace and investing platform for art,
46,ACAT,Alphacat,alphacat,https://messari.io/asset-images/42e37767-6f3a-49a3-b269-0b658ce782b5/128.png,asset,42e37767-6f3a-49a3-b269-0b658ce782b5,"{'symbol': {'value': '<b>A</b>CAT', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>lphacat', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",8.0,,,
47,AOA,Aurora,aurora,https://messari.io/asset-images/1850e376-5114-4656-bdc0-2dc0ff9ff03a/128.png,asset,1850e376-5114-4656-bdc0-2dc0ff9ff03a,"{'symbol': {'value': '<b>A</b>OA', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>urora', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",8.0,,,
48,AXPR,aXpire,axpire,https://messari.io/asset-images/031dbe31-f5ba-4067-a5cd-27790d616d26/128.png,asset,031dbe31-f5ba-4067-a5cd-27790d616d26,"{'symbol': {'value': '<b>A</b>XPR', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>a</b>Xpire', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",8.0,AXPR,Development platform for fintech products,
49,ADT,adToken,adtoken,https://messari.io/asset-images/02a8e4cb-b1e3-422d-9db6-13acd35872b9/128.png,asset,02a8e4cb-b1e3-422d-9db6-13acd35872b9,"{'symbol': {'value': '<b>A</b>DT', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>a</b>dToken', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",8.0,,,
50,ACH,AchieveCoin,achievecoin,https://messari.io/asset-images/028ea1fe-9e74-4e64-8d5a-35af8007cf74/128.png,asset,028ea1fe-9e74-4e64-8d5a-35af8007cf74,"{'symbol': {'value': '<b>A</b>CH', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>chieveCoin', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",8.0,,,
51,AMWBTC,Aave Polygon WBTC,aave-polygon-wbtc,https://messari.io/asset-images/013f51d9-97a9-4360-83c7-9a2cce8b28dc/128.png,asset,013f51d9-97a9-4360-83c7-9a2cce8b28dc,"{'symbol': {'value': '<b>A</b>MWBTC', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>ave Polygon WBTC', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",8.0,,,
52,ANB,Angryb,angryb,https://messari.io/asset-images/00683e3f-d301-4cf5-8a7c-74ec212ca298/128.png,asset,00683e3f-d301-4cf5-8a7c-74ec212ca298,"{'symbol': {'value': '<b>A</b>NB', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>ngryb', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",8.0,,,
53,ARN,Aeron,aeron,https://messari.io/asset-images/cd83bfaa-c6fd-46ea-bed9-6c686d7f3cfa/128.png,asset,cd83bfaa-c6fd-46ea-bed9-6c686d7f3cfa,"{'symbol': {'value': '<b>A</b>RN', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>eron', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",7.0,Aeron,,
54,AUTO,Cube,cube,https://messari.io/asset-images/cbf159b1-24ee-4f0f-a561-1479a4114fe0/128.png,asset,cbf159b1-24ee-4f0f-a561-1479a4114fe0,"{'symbol': {'value': '<b>A</b>UTO', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': 'Cube', 'matchLevel': 'none', 'matchedWords': []}}",7.0,Cube,,
55,AEON,Aeon,aeon,https://messari.io/asset-images/ad442220-4a44-4624-9115-863d754bd44b/128.png,asset,ad442220-4a44-4624-9115-863d754bd44b,"{'symbol': {'value': '<b>A</b>EON', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>eon', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",7.0,Aeon,,
56,AIR,AirToken,airtoken-1,https://messari.io/asset-images/0f96f2bd-f4e8-41b0-8dbd-8d042bf3599b/128.png,asset,0f96f2bd-f4e8-41b0-8dbd-8d042bf3599b,"{'symbol': {'value': '<b>A</b>IR', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>irToken', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",7.0,,,
57,ACM,Acumen,acumen,https://messari.io/asset-images/026c6698-1a7d-40e3-8058-8b010d35db41/128.png,asset,026c6698-1a7d-40e3-8058-8b010d35db41,"{'symbol': {'value': '<b>A</b>CM', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>cumen', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",7.0,,,
58,ABYSS,The Abyss,the-abyss,https://messari.io/asset-images/293df5a5-6266-4804-9888-ea413772382f/128.png,asset,293df5a5-6266-4804-9888-ea413772382f,"{'symbol': {'value': '<b>A</b>BYSS', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': 'The <b>A</b>byss', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",6.0,,Crypto rewards ecosystem for gamers and developers,
60,AIB,Advanced Internet Blocks,advanced-internet-blocks,https://messari.io/asset-images/4dad758e-cef1-4229-9abe-737bbd21616d/128.png,asset,4dad758e-cef1-4229-9abe-737bbd21616d,"{'symbol': {'value': '<b>A</b>IB', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>dvanced Internet Blocks', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",5.0,,,
61,ATOMIC,Atomic Coin,atomic-coin,https://messari.io/asset-images/e0231b6f-f393-4468-968b-014b445303f7/128.png,asset,e0231b6f-f393-4468-968b-014b445303f7,"{'symbol': {'value': '<b>A</b>TOMIC', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}, 'name': {'value': '<b>A</b>tomic Coin', 'matchLevel': 'full', 'fullyHighlighted': False, 'matchedWords': ['a']}}",4.0,,,
